stream,site_code,site_name,UTM_E,UTM_N,year,month,temperature_C
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,1,0.9500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,2,3.9500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,3,6.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,4,10.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,5,15.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,6,17.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,7,15.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,8,18.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,9,14.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,10,10.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,11,6.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2000,12,2.8500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,1,0.9500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,2,3.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,3,5.4500000000000455
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,4,7.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,5,15.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,6,14.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,7,19.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,8,19.55000000000001
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,9,11.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,10,12.450000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,11,3.3500000000000227
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2001,12,-0.24999999999994316
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,1,-0.3499999999999659
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,2,5.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,3,6.050000000000011
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,4,8.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,5,13.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,6,18.150000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,7,17.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,8,18.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,9,13.250000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,10,8.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,11,6.650000000000034
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2002,12,1.7500000000000568
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2003,1,0.05000000000001137
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2003,2,-0.8499999999999659
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2003,3,6.750000000000057
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2003,4,9.350000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2003,5,14.950000000000045
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2003,6,20.850000000000023
Aubach,Auba,oh. Wiesthal,9.42889356,50.0374896,2003,7,20.05000000000001
